Taxa_Name	Taxa_Rank
Dolichospermum lemmermannii FEM_LDL10	no rank
Dolichospermum lemmermannii FEM_LDL8	no rank
Dolichospermum lemmermannii FEM_MDL1	no rank
Dolichospermum lemmermannii FEM_MDL2	no rank
Dolichospermum lemmermannii FEM_MDL5	no rank
Dolichospermum lemmermannii FEM_MDL6	no rank
Dolichospermum lemmermannii FEM_MDL7	no rank
Dolichospermum lemmermannii FEM_STDL13	no rank
Dolichospermum lemmermannii FEM_STDL16	no rank
Dolichospermum lemmermannii FEM_STDL17	no rank
Dolichospermum lemmermannii FEM_STDL9	no rank
Dolichospermum lemmermannii NIVA-CYA 270/2	no rank
Dolichospermum lemmermannii NIVA-CYA 298	no rank
Dolichospermum lemmermannii NIVA-CYA 335	no rank
Dolichospermum lemmermannii NIVA-CYA 426	no rank
Dolichospermum lemmermannii NIVA-CYA 438	no rank
Dolichospermum lemmermannii NIVA-CYA 462/2	no rank
Dolichospermum lemmermannii NIVA-CYA 696	no rank
Dolichospermum lemmermannii NIVA-CYA 697	no rank
Dolichospermum lemmermannii NIVA-CYA 698	no rank
Dolichospermum lemmermannii TAC437	no rank
Dolichospermum lemmermannii TAC438	no rank
Dolichospermum lemmermannii str. Ana Dalai	no rank
Dolichospermum lemmermannii var. lemmermannii	varietas
Dolichospermum lemmermannii var. lemmermannii NIVA-CYA 281/1	no rank
Dolichospermum lemmermannii var. minor	varietas
Dolichospermum lemmermannii var. minor NIVA-CYA 266/1	no rank
Dolichospermum lemmermannii var. minor NIVA-CYA 83/2	no rank
Dolichospermum mendotae 04-06	no rank
Dolichospermum mendotae 04-11	no rank
Dolichospermum mendotae 04-45	no rank
Dolichospermum mendotae 05-01	no rank
Dolichospermum mendotae CHAB 3512	no rank
Dolichospermum mendotae CHAB 4408	no rank
Dolichospermum mendotae CHAB 4412	no rank
Dolichospermum mendotae TAC583	no rank
Dolichospermum mendotae TAC584	no rank
Dolichospermum mendotae UAM518	no rank
Dolichospermum minisporum TAC554	no rank
Dolichospermum mucosum 06-04	no rank
Dolichospermum mucosum 06-05	no rank
Dolichospermum mucosum 08-03	no rank
Dolichospermum mucosum 08-09	no rank
Dolichospermum mucosum 1tu35s5	no rank
Dolichospermum mucosum TAC425	no rank
Dolichospermum planctonicum 00-05	no rank
Dolichospermum planctonicum 03-02	no rank
Dolichospermum planctonicum 1tu28s8	no rank
Dolichospermum planctonicum 1tu30s13	no rank
Dolichospermum planctonicum 1tu33s10	no rank
Dolichospermum planctonicum 1tu33s8	no rank
Dolichospermum planctonicum 1tu36s8	no rank
Dolichospermum planctonicum 2LT27S01	no rank
Dolichospermum planctonicum AB2008/20	no rank
Dolichospermum planctonicum ACCS 106	no rank
Dolichospermum planctonicum B1-15	no rank
Dolichospermum planctonicum CENA209	no rank
Dolichospermum planctonicum CENA210	no rank
Dolichospermum planctonicum CHAB2309	no rank
Dolichospermum planctonicum HYCP201307-DP31	no rank
Dolichospermum planctonicum HYCP201307-DP33	no rank
Dolichospermum planctonicum HYCP201307-DP3	no rank
Dolichospermum planctonicum HYCP201307-DP6	no rank
Dolichospermum planctonicum HYCP201307-DP9	no rank
Dolichospermum planctonicum HYSY201308-DP50	no rank
Dolichospermum planctonicum HYUA201307-DP20	no rank
Dolichospermum planctonicum HYUA201307-DP22	no rank
Dolichospermum planctonicum Inba2	no rank
Dolichospermum planctonicum LMECYA 177	no rank
Dolichospermum planctonicum NIES-80	no rank
Dolichospermum planctonicum NIVA-CYA 66	no rank
Dolichospermum planctonicum NRERC-101	no rank
Dolichospermum planctonicum NRERC-105	no rank
Dolichospermum planctonicum NRERC-106	no rank
Dolichospermum planctonicum PMC154.02	no rank
Dolichospermum planctonicum PMC196.03	no rank
Dolichospermum planctonicum PMC200.03	no rank
Dolichospermum planctonicum PMC230.04	no rank
Dolichospermum planctonicum TAC421	no rank
Dolichospermum planctonicum TAC422	no rank
Dolichospermum planctonicum TAC424	no rank
Dolichospermum planctonicum TAC434	no rank
Dolichospermum planctonicum TAC435	no rank
Dolichospermum planctonicum TAC472	no rank
Dolichospermum planctonicum TAC561	no rank
Dolichospermum planctonicum UAM516	no rank
Dolichospermum planctonicum UAM517	no rank
Dolichospermum planctonicum UAM534	no rank
Dolichospermum planctonicum UAM535	no rank
Dolichospermum pseudocompactum TAC538	no rank
Dolichospermum sigmoideum 0tu36s7	no rank
Dolichospermum sigmoideum 0tu38s4	no rank
Dolichospermum smithii 05-05	no rank
Dolichospermum smithii 08-02	no rank
Dolichospermum smithii 1tu39s8	no rank
Dolichospermum smithii TAC428	no rank
Dolichospermum smithii TAC431	no rank
Dolichospermum smithii TAC432	no rank
Dolichospermum smithii TAC450	no rank
Dolichospermum smithii 'BC Ana 0025'	no rank
Dolichospermum smithii NIES-78	no rank
Dolichospermum smithii f. zinserlingii 2LT27S03	no rank
Dolichospermum smithii f. zinserlingii 2LT27S04	no rank
Dolichospermum spiroides 04-51	no rank
Dolichospermum spiroides 1tu39s17	no rank
Dolichospermum spiroides CHAB503	no rank
Dolichospermum spiroides CHAB506	no rank
Dolichospermum spiroides CHAB507	no rank
Dolichospermum spiroides LMECYA 161	no rank
Dolichospermum spiroides MBDU 607	no rank
Dolichospermum spiroides NIES-76	no rank
Dolichospermum spiroides NIES-77	no rank
Dolichospermum spiroides NIES-79	no rank
Dolichospermum spiroides RPAN20	no rank
Dolichospermum spiroides RPAN50	no rank
Dolichospermum spiroides RPAN57	no rank
Dolichospermum spiroides RPAN58	no rank
Dolichospermum spiroides S17	no rank
Dolichospermum spiroides TAC27	no rank
Dolichospermum spiroides TAC551	no rank
Dolichospermum ucrainicum CHAB1431	no rank
Dolichospermum ucrainicum CHAB1432	no rank
Dolichospermum ucrainicum CHAB1433	no rank
Dolichospermum ucrainicum CHAB1434	no rank
Dolichospermum ucrainicum CHAB2152	no rank
Dolichospermum ucrainicum CHAB2153	no rank
Dolichospermum ucrainicum CHAB2154	no rank
Dolichospermum ucrainicum CHAB2155	no rank
Dolichospermum ucrainicum CHAB2157	no rank
Dolichospermum ucrainicum CHAB2159	no rank
Dolichospermum ucrainicum CHAB2161	no rank
Dolichospermum ucrainicum CHAB608	no rank
Dolichospermum ucrainicum CHAB609	no rank
Dolichospermum ucrainicum CHAB611	no rank
Dolichospermum ucrainicum CHAB623	no rank
Dolichospermum ucrainicum TAC448	no rank
Dolichospermum ucrainicum TAC449	no rank
Dolichospermum ucrainicum TAC455	no rank
Dolichospermum uruguayense str. 7	no rank
Dolichospermum viguieri 08-04	no rank
Dolichospermum viguieri SAG 27.79	no rank
Dolichospermum viguieri TAC433	no rank
environmental samples	no rank
Nodularia	genus
Nodularia armorica L1	no rank
Nodularia cf. harveyana HBU11	no rank
Nodularia cf. harveyana HBU26	no rank
Nodularia harveyana 'Huebel 1983/300'	no rank
Nodularia harveyana 5600 TP	no rank
Nodularia harveyana BOB1	no rank
Nodularia harveyana CCAP 1452/1	no rank
Nodularia harveyana CCAP 1452/6	no rank
Nodularia harveyana HBU24	no rank
Nodularia harveyana HBU27	no rank
Nodularia harveyana SAG 44.85	no rank
Nodularia harveyana SOOS3	no rank
Nodularia harveyana SOOS4	no rank
Nodularia moravica CCALA 797	no rank
Nodularia sphaerocarpa ACSSI 239	no rank
Nodularia sphaerocarpa HBU22	no rank
Nodularia sphaerocarpa HBU25	no rank
Nodularia sphaerocarpa L7	no rank
Nodularia sphaerocarpa LEGE06071	no rank
Nodularia sphaerocarpa PCC 7804	no rank
Nodularia spumigena 309	no rank
Nodularia spumigena AV2	no rank
Nodularia spumigena AV45	no rank
Nodularia spumigena CCALA 115	no rank
Nodularia spumigena CCY9414	no rank
Nodularia spumigena CENA596	no rank
Nodularia spumigena CH307	no rank
Nodularia spumigena GSL023	no rank
Nodularia spumigena HEM	no rank
Nodularia spumigena NODSPU1	no rank
Nodularia spumigena NODSPU2	no rank
Nodularia spumigena NODSPU3	no rank
Nodularia spumigena PCC 73104	no rank
Nodularia spumigena PCC 73104/1	no rank
Nodularia spumigena PCC 9350	no rank
Nodularia spumigena SR5i	no rank
Nodularia spumigena UHCC 0039	no rank
Raphidiopsis	genus
Raphidiopsis brookii D9	no rank
Raphidiopsis curvata CHAB114	no rank
Raphidiopsis curvata CHAB1150	no rank
Raphidiopsis curvata CHAB3360	no rank
Raphidiopsis curvata CHAB3405	no rank
Raphidiopsis curvata CHAB3406	no rank
Raphidiopsis curvata CHAB3407	no rank
Raphidiopsis curvata CHAB3413	no rank
Raphidiopsis curvata CHAB3415	no rank
Raphidiopsis curvata CHAB3416	no rank
Raphidiopsis curvata CHAB341	no rank
Raphidiopsis curvata HB1	no rank
Raphidiopsis curvata NIES-932	no rank
Raphidiopsis mediterranea 07-04	no rank
Raphidiopsis mediterranea CHAB1350	no rank
Raphidiopsis mediterranea CHAB1353	no rank
Raphidiopsis mediterranea CHAB1355	no rank
Raphidiopsis mediterranea CHAB2314	no rank
Raphidiopsis mediterranea CHAB3326	no rank
Raphidiopsis mediterranea CHAB3408	no rank
Raphidiopsis mediterranea CHAB352	no rank
Raphidiopsis mediterranea FSS1-150/1	no rank
Raphidiopsis mediterranea HB2	no rank
Sphaerospermopsis	genus
Sphaerospermopsis aphanizomenoides 04-43	no rank
Sphaerospermopsis aphanizomenoides 09-03	no rank
Sphaerospermopsis aphanizomenoides 1LT27S09	no rank
Sphaerospermopsis aphanizomenoides AB2011/08	no rank
Sphaerospermopsis aphanizomenoides AB2011/24	no rank
Sphaerospermopsis aphanizomenoides AB2011/34	no rank
Sphaerospermopsis aphanizomenoides AB2011/43	no rank
Sphaerospermopsis aphanizomenoides AB2011/48	no rank
Sphaerospermopsis aphanizomenoides AB2011/60	no rank
Sphaerospermopsis aphanizomenoides AB2011/61	no rank
Sphaerospermopsis aphanizomenoides AB2011/73	no rank
Sphaerospermopsis aphanizomenoides AB2011/85	no rank
Sphaerospermopsis aphanizomenoides AB2011/88	no rank
Sphaerospermopsis aphanizomenoides ANA217A	no rank
Sphaerospermopsis aphanizomenoides ANA237D	no rank
Sphaerospermopsis aphanizomenoides ANA280B	no rank
Sphaerospermopsis aphanizomenoides BCCUSP55	no rank
Sphaerospermopsis aphanizomenoides CENA188	no rank
Sphaerospermopsis aphanizomenoides CHAB1306	no rank
Sphaerospermopsis aphanizomenoides CHAB2313	no rank
Sphaerospermopsis aphanizomenoides CHAB2318	no rank
Sphaerospermopsis aphanizomenoides CHAB2319	no rank
Sphaerospermopsis aphanizomenoides CHAB2378	no rank
Sphaerospermopsis aphanizomenoides NRERC-600	no rank
Sphaerospermopsis aphanizomenoides NRERC-601	no rank
Sphaerospermopsis aphanizomenoides NRERC-602	no rank
Sphaerospermopsis aphanizomenoides PMC641.10	no rank
Sphaerospermopsis aphanizomenoides RPAN25	no rank
Sphaerospermopsis aphanizomenoides RPAN68	no rank
Sphaerospermopsis aphanizomenoides SERB 1	no rank
Sphaerospermopsis aphanizomenoides TAC456	no rank
Sphaerospermopsis crassa CHAB 4404	no rank
Sphaerospermopsis eucompacta CHAB333	no rank
Sphaerospermopsis eucompacta CHAB373	no rank
Sphaerospermopsis eucompacta CHAB376	no rank
Sphaerospermopsis eucompacta CHAB464	no rank
Sphaerospermopsis eucompacta CHAB513	no rank
Sphaerospermopsis eucompacta CHAB915	no rank
Sphaerospermopsis eucompacta CHAB923	no rank
Sphaerospermopsis eucompacta CHAB	no rank
Sphaerospermopsis kisseleviana CHAB332	no rank
Sphaerospermopsis kisseleviana NIES-73	no rank
Sphaerospermopsis kisseleviana TAC33	no rank
Sphaerospermopsis kisseleviana TAC34	no rank
Sphaerospermopsis oumiana CHAB1036	no rank
Sphaerospermopsis oumiana CHAB338	no rank
Sphaerospermopsis oumiana CHAB502	no rank
Sphaerospermopsis oumiana CHAB508	no rank
Sphaerospermopsis oumiana CHAB510	no rank
Sphaerospermopsis oumiana CHAB522	no rank
Sphaerospermopsis oumiana TAC464	no rank
Sphaerospermopsis oumiana TAC568	no rank
Sphaerospermopsis reniformis 06-01	no rank
Sphaerospermopsis reniformis 07-01	no rank
Sphaerospermopsis reniformis AB2011/03	no rank
Sphaerospermopsis reniformis AB2011/05	no rank
Sphaerospermopsis reniformis ACCS 105	no rank
Sphaerospermopsis reniformis TAC478	no rank
Sphaerospermopsis reniformis TAC481	no rank
Sphaerospermopsis reniformis TAC484	no rank
Sphaerospermopsis reniformis TAC543	no rank
Sphaerospermopsis torques-reginae ITEP-024	no rank
Sphaerospermopsis torques-reginae ITEP-026	no rank
Umezakia	genus
Umezakia natans TAC611	no rank
unclassified Aphanizomenonaceae	no rank
Chlorogloeopsidaceae	family
Chlorogloeopsis	genus
Chlorogloeopsis fritschii KSU-WH-10	no rank
Chlorogloeopsis fritschii PCC 6718	no rank
Chlorogloeopsis fritschii PCC 6912	no rank
Chlorogloeopsis fritschii PCC 9212	no rank
environmental samples	no rank
Cyanomargaritaceae	family
Cyanomargarita	genus
Cyanomargarita calcarea GSE-NOS12-04C	no rank
Cyanomargarita melechinii APA-RS9	no rank
Dapisostemonaceae	family
Dapisostemon	genus
Dapisostemon apicaliramis CCIBt 3318	no rank
Dapisostemon apicaliramis CCIBt 3536	no rank
Fortieaceae	family
Aulosira	genus
Aulosira laxa NIES-50	no rank
Fortiea	genus
Fortiea contorta PCC 7126	no rank
Fortiea laiensis HA4221-MV2	no rank
Roholtiella	genus
Roholtiella edaphica AR2	no rank
Roholtiella edaphica AR3	no rank
Roholtiella edaphica AR4	no rank
Roholtiella edaphica AR5	no rank
Roholtiella edaphica AR6	no rank
Roholtiella edaphica KZ-5-4-5	no rank
Roholtiella fluviatilis SN435	no rank
Roholtiella fluviatilis UAM 332	no rank
Roholtiella fluviatilis UAM 334	no rank
Roholtiella fluviatilis UAM 337	no rank
Roholtiella fluviatilis UAM 340	no rank
[Tolypothrix] sp. PCC 7415	no rank
Gloeotrichiaceae	family
Gloeotrichia	genus
Gloeotrichia echinulata PYH14	no rank
Gloeotrichia echinulata PYH6	no rank
Gloeotrichia echinulata URA3	no rank
Gloeotrichia longicauda SAG 32.84	no rank
Gloeotrichia pisum SL6-1-1	no rank
Godleyaceae	family
Toxopsis	genus
Toxopsis calypsus PLF	no rank
Hapalosiphonaceae	family
Aetokthonos	genus
Aetokthonos hydrillicola AEL04-Oct-6-03	no rank
Fischerella	genus
Fischerella ambigua ISC 4	no rank
Fischerella ambigua UTEX 1903	no rank
Fischerella major NIES-592	no rank
Fischerella muscicola NDUPC001	no rank
Fischerella muscicola PCC 7414	no rank
Fischerella muscicola SAG 1427-1 = PCC 73103	no rank
Fischerella muscicola SAG 2027	no rank
Fischerella thermalis PCC 7521	no rank
environmental samples	no rank
unclassified Fischerella	no rank
Hapalosiphon	genus
Hapalosiphon arboreus 3OW05S02	no rank
Hapalosiphon arboreus 3OW05S03	no rank
Hapalosiphon baronii SERB 39	no rank
Hapalosiphon delicatulus IAM M-266	no rank
Hapalosiphon hibernicus BZ-3-1	no rank
Hapalosiphon welwitschii Ind21	no rank
Hapalosiphon welwitschii UH IC-52-3	no rank
Mastigocladus	genus
Mastigocladus laminosus CCAP 1447/3	no rank
Mastigocladus laminosus Greenland_8	no rank
Mastigocladus laminosus NQAIF328	no rank
Mastigocoleus	genus
Mastigocoleus testarum BC008	no rank
Nostochopsis	genus
Nostochopsis lobatus 92.1	no rank
Westiella	genus
Westiella intricata UH HT-29-1	no rank
Westiellopsis	genus
Westiellopsis prolifica SAG 16.93	no rank
Westiellopsis prolifica SAG 23.96	no rank
Heteroscytonemataceae	family
Heteroscytonema	genus
Heteroscytonema cf. crispum UCFS16	no rank
Heteroscytonema cf. crispum UCFS17	no rank
Heteroscytonema cf. crispum UCFS21	no rank
Heteroscytonema crispum BRCC0217(2)	no rank
Heteroscytonema crispum BRCC0217	no rank
Heteroscytonema crispum BRSC0217	no rank
Heteroscytonema crispum EC0914.03	no rank
Heteroscytonema crispum EC1014.03	no rank
Heteroscytonema crispum EC1014.05	no rank
Heteroscytonema crispum EC1014.07	no rank
Heteroscytonema crispum EC1014.09	no rank
Heteroscytonema crispum SSC1014.02	no rank
Heteroscytonema crispum UCFS10	no rank
Heteroscytonema crispum UCFS15	no rank
Heteroscytonema crispum UTEX LB 1556	no rank
Heteroscytonema crispum WC0914.04	no rank
Heteroscytonema crispum WC0914.05	no rank
Heteroscytonema crispum WC0914.06	no rank
Heteroscytonema crispum YC0316	no rank
Nostocaceae	family
Aliinostoc	genus
Aliinostoc morphoplasticum NOS	no rank
Anabaena	genus
Anabaena anomala RPAN34	no rank
Anabaena augstumalis str. 'SCHMIDKE JAHNKE/4a'	no rank
Anabaena azotica WY06	no rank
Anabaena ballyganglii RPAN35	no rank
Anabaena bergii 09-02	no rank
Anabaena bergii ANA283A	no rank
Anabaena bergii ANA283B	no rank
Anabaena bergii ANA360D	no rank
Anabaena bergii ANA360H	no rank
Anabaena bergii ANA366A	no rank
Anabaena bergii CHAB1000	no rank
Anabaena bergii CHAB1104	no rank
Anabaena bergii CHAB1364	no rank
Anabaena bergii CHAB1381	no rank
Anabaena bergii CHAB1385	no rank
Anabaena bergii KSU-AQIQ-11	no rank
Anabaena bergii LIE01AB	no rank
Anabaena bergii LIE02AB	no rank
Anabaena bergii PMC215.03	no rank
Anabaena catenula SAG 1403-1	no rank
Anabaena constricta MACC-103	no rank
Anabaena constricta MACC-110	no rank
Anabaena constricta MACC-113	no rank
Anabaena constricta MACC-146	no rank
Anabaena constricta MACC-177	no rank
Anabaena constricta MACC-206	no rank
Anabaena constricta MACC-211	no rank
Anabaena constricta MACC-221	no rank
Anabaena constricta MACC-260	no rank
Anabaena cycadae PKGSAK6	no rank
Anabaena cf. cylindrica 133	no rank
Anabaena cf. cylindrica PMC9705	no rank
Anabaena cf. cylindrica XP6B	no rank
Anabaena cylindrica Bio33	no rank
Anabaena cylindrica CCAP 1403/30	no rank
Anabaena cylindrica DC-3	no rank
Anabaena cylindrica PCC 7122	no rank
Anabaena cylindrica SERB 19	no rank
Anabaena cylindrica UTAD_A212	no rank
Anabaena elliptica TAC453	no rank
Anabaena inaequalis CCAP 1446/1A	no rank
Anabaena iyengarii RPAN11	no rank
Anabaena iyengarii RPAN17	no rank
Anabaena iyengarii RPAN3	no rank
Anabaena iyengarii RPAN49	no rank
Anabaena iyengarii RPAN6	no rank
Anabaena iyengarii RPAN70	no rank
Anabaena laxa RPAN14	no rank
Anabaena laxa RPAN56	no rank
Anabaena laxa RPAN63	no rank
Anabaena laxa RPAN8	no rank
Anabaena oryzae Ind3	no rank
Anabaena oryzae WY07	no rank
Anabaena oscillarioides BECID22	no rank
Anabaena oscillarioides BECID32	no rank
Anabaena oscillarioides MACC-201	no rank
Anabaena oscillarioides RPAN4	no rank
Anabaena oscillarioides RPAN69	no rank
Anabaena oscillarioides str. 'BO HINDAK 1984/43'	no rank
Anabaena cf. pirinica ACSSI 153	no rank
Anabaena cf. scheremetievi PMC9701	no rank
Anabaena sedovii ACCS 058	no rank
Anabaena sp. 1 str. Ana Ku3	no rank
Anabaena sp. 1 str. Ana Ku5	no rank
Anabaena catenula CCAP 1403/27	no rank
Anabaena planctonica NIES-816	no rank
Anabaena sp. CCAP 1403/19	no rank
Anabaena planctonica NIES-815	no rank
Anabaena sphaerica MBG-AL116	no rank
Anabaena sphaerica PMC306.07	no rank
Anabaena sphaerica RPAN12	no rank
Anabaena sphaerica f. conoidea 1LT27S01	no rank
Anabaena sphaerica f. conoidea 2LT27S09	no rank
Anabaena sphaerica var. tenuis PMC153.02	no rank
Anabaena sphaerica var. tenuis PMC188.03	no rank
Anabaena sphaerica var. tenuis PMC189.03	no rank
Anabaena sphaerica var. tenuis PMC229.04	no rank
Anabaena sphaerica var. tenuis PMC246.05	no rank
Anabaena sphaerica var. tenuis PMC263.06	no rank
Anabaena sphaerica var. tenuis PMC266.06	no rank
Anabaena sphaerica var. tenuis PMC267.06	no rank
Anabaena tenericaulis 08-10	no rank
Anabaena tenericaulis 08-11	no rank
Anabaena torulosa BF1	no rank
Camptylonemopsis	genus
Cronbergia	genus
Cronbergia amazonensis CMAA1598	no rank
Cronbergia siamensis NQAIF308	no rank
Cronbergia siamensis SAG 11.82	no rank
Cylindrospermum	genus
Cylindrospermum alatosporum SAG 43.79	no rank
Cylindrospermum catenatum CCALA 991	no rank
Cylindrospermum catenatum CCALA 999	no rank
Cylindrospermum licheniforme UTEX B 2014	no rank
Cylindrospermum muscicola ACSSI 140	no rank
Cylindrospermum muscicola Ind12	no rank
Cylindrospermum muscicola SAG 44.79	no rank
Cylindrospermum skujae ACSSI 112	no rank
Cylindrospermum stagnale PCC 7417	no rank
Desikacharya	genus
Desikacharya nostocoides BHU1-PS	no rank
Desikacharya soli BHU2-PS	no rank
Desmonostoc	genus
Desmonostoc danxiaense CHAB5868	no rank
Desmonostoc danxiaense CHAB5869	no rank
Desmonostoc muscorum 9a	no rank
Desmonostoc muscorum ACSSI 091	no rank
Desmonostoc muscorum ACSSI 149	no rank
Desmonostoc muscorum CCAP 1453/20	no rank
Desmonostoc muscorum CCAP 1453/22	no rank
Desmonostoc muscorum CCAP 1453/32	no rank
Desmonostoc muscorum CCAP 1453/8	no rank
Desmonostoc muscorum CENA18	no rank
Desmonostoc muscorum CENA61	no rank
Desmonostoc muscorum I	no rank
Desmonostoc muscorum II	no rank
Desmonostoc muscorum Ind33	no rank
Desmonostoc muscorum LWH217	no rank
Desmonostoc muscorum MBG-AL111	no rank
Desmonostoc muscorum MBG-AL215	no rank
Desmonostoc muscorum MBG-AL217	no rank
Desmonostoc muscorum NDUPC006	no rank
Desmonostoc muscorum SAG 1453-12b	no rank
Desmonostoc muscorum SAG 57.79	no rank
Desmonostoc muscorum SERB 54	no rank
Desmonostoc muscorum SN420	no rank
Desmonostoc muscorum SN434	no rank
Desmonostoc muscorum SN445	no rank
Desmonostoc muscorum SN451	no rank
Desmonostoc muscorum SN455	no rank
Desmonostoc muscorum UTAD_N213	no rank
Desmonostoc sp. PCC 7906	no rank
Desmonostoc salinum CCM-UFV059	no rank
Goleter	genus
Goleter apudmare HA4356-MV2	no rank
Halotia	genus
Halotia branconii CENA186	no rank
Halotia branconii CENA390	no rank
Halotia branconii CENA392	no rank
Halotia longispora CENA184	no rank
Halotia longispora CENA420	no rank
Halotia wernerae CENA158	no rank
Halotia wernerae CENA159	no rank
Halotia wernerae CENA160	no rank
Halotia wernerae CENA391	no rank
Hydrocoryne	genus
Hydrocoryne spongiosa HA4387-MV2	no rank
Komarekiella	genus
Komarekiella atlantica CCIBT 3307	no rank
Komarekiella atlantica CCIBT 3481	no rank
Komarekiella atlantica CCIBT 3483	no rank
Komarekiella atlantica CCIBT 3485	no rank
Komarekiella atlantica CCIBT 3486	no rank
Komarekiella atlantica CCIBT 3487	no rank
Komarekiella atlantica CCIBT 3552	no rank
Nostoc	genus
Nostoc caeruleum SAG 52.79	no rank
Nostoc calcicola 99	no rank
Nostoc calcicola AM50C	no rank
Nostoc calcicola AM50D	no rank
Nostoc calcicola BDU 180601	no rank
Nostoc calcicola BDU 40302	no rank
Nostoc calcicola III	no rank
Nostoc calcicola Ind30	no rank
Nostoc calcicola Lukesova 2_89	no rank
Nostoc calcicola SAG 1453-1	no rank
Nostoc calcicola VI	no rank
Nostoc carneum BF2	no rank
Nostoc carneum Cy_nb3	no rank
Nostoc carneum IAM M-35	no rank
Nostoc carneum MBDU 015	no rank
Nostoc carneum NIES-2107	no rank
Nostoc carneum SERB 44	no rank
Nostoc carneum SN437	no rank
Nostoc carneum SU_cyano_N	no rank
Nostoc carneum UAM 389	no rank
Nostoc cf. commune 257-16	no rank
Nostoc cf. commune 257-20	no rank
Nostoc cf. commune KG-54	no rank
Nostoc commune '0'Brien 02011101'	no rank
Nostoc commune ACSSI 030	no rank
Nostoc commune ACSSI 035	no rank
Nostoc commune AHNG0605	no rank
Nostoc commune CANT2	no rank
Nostoc commune CANT4	no rank
Nostoc commune CCAP 1453/24	no rank
Nostoc commune HK-02	no rank
Nostoc commune KU002	no rank
Nostoc commune MACC-112	no rank
Nostoc commune MACC-154	no rank
Nostoc commune MACC-178	no rank
Nostoc commune MBDU 707	no rank
Nostoc commune SN444	no rank
Nostoc commune SN450	no rank
Nostoc commune UTEX 584	no rank
Nostoc commune WY1KK1	no rank
Nostoc commune YK-04	no rank
Nostoc cf. edaphicum Us-2-2	no rank
Nostoc edaphicum ACCS 059	no rank
Nostoc edaphicum ACSSI 156	no rank
Nostoc edaphicum LEGE 07299	no rank
Nostoc edaphicum X	no rank
Nostoc elgonense MHF009PRP	no rank
Nostoc elgonense TH3S05	no rank
Nostoc ellipsosporum CCAP 1453/15	no rank
Nostoc ellipsosporum CCAP 1453/2	no rank
Nostoc ellipsosporum MACC-148	no rank
Nostoc ellipsosporum NDUPC002	no rank
Nostoc ellipsosporum V	no rank
Nostoc ellipsosporum str. Lukesova 51_1991	no rank
Nostoc ellipsosporum str. Lukesova 52_91	no rank
Nostoc entophytum IAM M-267	no rank
Nostoc entophytum ISC 32	no rank
Nostoc entophytum MACC-612	no rank
Nostoc entophytum MBDU 679	no rank
Nostoc entophytum MBG_AL213	no rank
Nostoc commune var. flagelliforme CCAP 1453/33	no rank
Nostoc flagelliforme CCNUN1	no rank
Nostoc flagelliforme IMGA0408	no rank
Nostoc flagelliforme str. Sunitezuoqi	no rank
Nostoc humifusum MBG-AL114	no rank
Nostoc insulare SAG 54.79	no rank
Nostoc linckia ACSSI 271	no rank
Nostoc linckia MBDU 709	no rank
Nostoc linckia NIES-25	no rank
Nostoc linckia var. arvense IAM M-30	no rank
Nostoc microscopicum SAG 40.87	no rank
Nostoc minutum ACSSI 155	no rank
Nostoc minutum ACSSI 167	no rank
Nostoc minutum ACSSI 168	no rank
Nostoc minutum NIES-26	no rank
Nostoc paludosum BA033	no rank
Nostoc parmelioides SAG 58.79	no rank
Nostoc piscinale BF3	no rank
Nostoc piscinale CENA21	no rank
Nostoc piscinale UAM 394	no rank
Nostoc pruniforme SAG 62.79	no rank
Nostoc punctiforme ACCS 074	no rank
Nostoc punctiforme ACSSI 037	no rank
Nostoc punctiforme ACSSI 160	no rank
Nostoc punctiforme CCAP 1453/9	no rank
Nostoc punctiforme MACC-198	no rank
Nostoc punctiforme MACC-210	no rank
Nostoc punctiforme MACC-218	no rank
Nostoc punctiforme MACC-287	no rank
Nostoc punctiforme PCC 73102	no rank
Nostoc punctiforme SAG 60.79	no rank
Nostoc punctiforme SAG 65.79	no rank
Nostoc punctiforme SAG 68.79	no rank
Nostoc punctiforme SAG 69.79	no rank
Nostoc punctiforme SAG 71.79	no rank
Nostoc punctiforme UAM 393	no rank
Nostoc sphaericum MACC-132	no rank
Nostoc sphaeroides ACSSI 150	no rank
Nostoc sphaeroides HBHF0604	no rank
Nostoc spongiaeforme Ind42	no rank
Nostoc spongiaeforme NDUPC007	no rank
Nostoc verrucosum KU005	no rank
environmental samples	no rank
Pelatocladus	genus
Pelatocladus maniniholoensis HA4357-MV3	no rank
Richelia	genus
Richelia intracellularis HH01	no rank
Richelia intracellularis HM01	no rank
Trichormus	genus
'Nostoc azollae' 0708	no rank
Trichormus azollae str. 'Kom BAI./1983'	no rank
Trichormus doliolum Cy_nb4	no rank
Trichormus doliolum Ind1	no rank
Trichormus doliolum RPAN53	no rank
Trichormus doliolum str. 'doliolum 1'	no rank
Trichormus fertilissimus CCC 597	no rank
Trichormus fertilissimus RPAN47	no rank
Trichormus variabilis ACSSI 154	no rank
Trichormus variabilis ATCC 29413	no rank
Trichormus variabilis GITAM RGP	no rank
Trichormus variabilis MACC-251	no rank
Trichormus variabilis MACC-57	no rank
Trichormus variabilis MBDU 013	no rank
Trichormus variabilis MBDU 209	no rank
Trichormus variabilis NIES-23	no rank
